customer_id,crb_score,num_active_loans_other_lenders,total_outstanding_debt_kes,num_defaults_last_24m,max_days_past_due_24m,crb_listed_negative,crb_pulled_date
100132,521,3,14600.0,1,177,1,2024-02-22
100133,419,2,22800.0,1,83,1,2023-08-22
100134,671,0,0.0,0,7,0,2024-11-05
100135,583,2,46200.0,0,7,0,2025-02-03
100136,611,2,39500.0,0,2,0,2023-02-02
100137,590,1,8100.0,0,10,0,2023-09-13
100138,654,0,0.0,0,9,0,2025-02-18
100139,543,1,9700.0,0,0,0,2023-04-04
100140,485,2,42300.0,0,11,0,2023-08-12
100141,642,2,49800.0,0,4,0,2025-01-13
100142,722,1,17000.0,0,6,0,2025-01-06
100143,562,0,0.0,0,12,0,2023-09-11
100144,598,1,6900.0,0,13,0,2025-02-24
100145,452,2,30800.0,0,2,0,2023-10-07
100146,628,1,17700.0,0,4,0,2023-07-09
100147,656,0,0.0,0,5,0,2024-01-04
100148,604,0,0.0,1,30,1,2024-06-19
100149,519,1,8100.0,0,1,0,2024-07-03
100150,609,0,0.0,1,132,1,2023-08-27
100151,631,2,32600.0,0,3,0,2024-07-30
100152,548,3,45900.0,0,7,0,2023-01-19
100153,462,2,37000.0,0,6,0,2023-03-13
100154,600,1,14900.0,0,4,0,2023-08-15
100155,571,1,3800.0,0,13,0,2025-05-11
100156,672,1,9100.0,0,2,0,2024-09-25
100157,556,2,45100.0,0,10,0,2023-02-17
100158,771,1,18000.0,0,5,0,2023-03-06
100159,582,1,18500.0,0,8,0,2025-01-25
100160,790,0,0.0,0,8,0,2024-04-03
100161,635,2,25100.0,0,11,0,2024-10-07
100162,489,2,41500.0,0,14,0,2023-10-09
100163,655,2,47100.0,0,8,0,2023-09-21
100164,583,2,12100.0,0,0,0,2023-05-27
100165,504,0,0.0,0,1,0,2024-06-21
100166,706,2,8100.0,0,6,0,2024-06-02
100167,470,2,15000.0,0,8,0,2024-05-13
100168,414,2,41900.0,1,54,1,2025-04-22
100169,586,4,61200.0,0,11,0,2024-08-27
100170,611,1,12300.0,0,10,0,2025-04-21
100171,715,1,14000.0,0,11,0,2024-10-28
100172,572,0,0.0,0,11,0,2023-05-01
100173,355,3,62900.0,1,159,1,2024-04-08
100174,492,5,99700.0,1,160,1,2025-05-25
100175,500,2,14700.0,1,44,1,2024-10-09
100176,373,3,53300.0,1,31,1,2023-04-18
100177,561,2,20100.0,1,171,1,2023-06-30
100178,681,1,13300.0,0,1,0,2023-03-15
100179,669,1,6200.0,0,1,0,2024-09-15
100180,667,0,0.0,0,1,0,2024-01-31
100181,509,3,71000.0,0,1,0,2024-01-21
100182,679,0,0.0,0,8,0,2025-05-30
100183,596,2,7300.0,0,7,0,2025-04-26
100184,628,0,0.0,0,9,0,2023-03-30
100185,482,2,35200.0,0,1,0,2025-02-10
100186,608,1,12500.0,0,12,0,2025-04-22
100187,556,3,37800.0,1,90,1,2023-01-02
100188,420,0,0.0,0,2,0,2025-04-02
100189,681,2,17700.0,0,7,0,2024-11-16
100190,646,2,23200.0,0,7,0,2023-09-12
100191,640,1,20200.0,0,13,0,2024-06-26
100192,501,4,89600.0,0,13,0,2023-02-07
100193,704,1,21500.0,0,12,0,2024-10-08
100194,440,2,32100.0,0,11,0,2023-11-08
100195,631,0,0.0,0,6,0,2023-08-21
100196,691,1,18700.0,0,0,0,2024-12-15
100197,485,1,21200.0,0,1,0,2024-12-20
100198,732,1,9000.0,0,9,0,2023-11-20
100199,746,0,0.0,0,7,0,2023-05-07
100200,520,1,24300.0,0,13,0,2024-11-01
100201,783,0,0.0,0,2,0,2025-03-23
100202,444,0,0.0,1,110,1,2025-02-27
100203,558,1,17100.0,1,44,1,2024-01-28
100204,301,1,10900.0,2,121,1,2024-04-13
100205,663,5,68200.0,0,2,0,2023-04-07
100206,439,2,36900.0,1,141,1,2023-10-24
100207,372,1,16700.0,2,64,1,2024-09-25
100208,659,3,10700.0,0,9,0,2024-11-23
100209,676,1,17500.0,0,3,0,2023-12-15
100210,575,4,49800.0,1,114,1,2025-04-13
100211,592,1,20600.0,0,6,0,2023-08-21
100212,803,0,0.0,0,12,0,2024-09-23
100213,541,4,71000.0,1,56,1,2024-08-27
100214,450,0,0.0,0,9,0,2024-06-22
100215,722,0,0.0,0,14,0,2023-10-28
100216,640,3,71500.0,0,8,0,2024-10-03
100217,729,1,7400.0,0,1,0,2023-07-17
100218,423,3,63300.0,0,1,0,2025-01-19
100219,445,0,0.0,0,5,0,2024-06-26
100220,460,4,33400.0,0,3,0,2024-01-05
100221,631,1,22700.0,0,13,0,2023-11-16
100222,736,2,8800.0,0,10,0,2023-04-26
100223,671,4,20600.0,0,5,0,2023-02-20
100224,631,0,0.0,0,8,0,2023-10-10
100225,710,0,0.0,0,8,0,2023-07-26
100226,506,2,30500.0,0,1,0,2024-09-14
100227,347,3,39100.0,2,97,1,2024-02-11
100228,408,1,23800.0,0,7,0,2023-05-22
100229,451,1,4500.0,0,11,0,2024-06-01
100230,409,4,92600.0,0,10,0,2024-07-25
100231,416,2,7000.0,2,76,1,2024-03-15
100232,466,3,12900.0,0,14,0,2024-08-12
100233,646,3,14500.0,0,3,0,2025-04-10
100234,649,1,21000.0,0,3,0,2024-06-25
100235,772,0,0.0,0,9,0,2023-11-06
100236,453,3,46000.0,1,143,1,2024-07-21
100237,680,1,13500.0,0,11,0,2025-02-23
100238,707,1,14700.0,0,13,0,2024-08-04
100239,555,2,10400.0,0,6,0,2024-03-06
100240,522,3,67800.0,0,7,0,2023-04-18
100241,773,1,15800.0,0,13,0,2024-09-06
100242,552,2,24800.0,0,14,0,2024-12-07
100243,721,0,0.0,0,8,0,2024-05-02
100244,423,4,98300.0,1,139,1,2024-07-26
100245,818,3,55800.0,0,11,0,2023-04-08
100246,768,0,0.0,0,10,0,2025-05-24
100247,507,3,66600.0,0,1,0,2024-01-17
100248,563,1,23600.0,0,9,0,2025-03-05
100249,469,3,20500.0,0,2,0,2024-08-31
100250,547,2,45700.0,0,14,0,2024-10-11
100251,457,0,0.0,1,46,1,2023-09-07
100252,390,2,44800.0,1,125,1,2023-08-27
100253,494,0,0.0,0,0,0,2023-10-25
100254,692,1,5900.0,0,1,0,2023-08-31
100255,426,2,35700.0,1,175,1,2024-09-23
100256,726,0,0.0,0,1,0,2023-05-20
100257,744,1,4000.0,0,14,0,2024-10-22
100258,755,0,0.0,0,2,0,2023-05-13
100259,660,2,38500.0,0,0,0,2024-04-29
100260,750,0,0.0,0,7,0,2023-09-21
100261,467,2,19800.0,0,8,0,2024-10-25
100262,764,1,17800.0,0,12,0,2023-09-17
100263,891,1,3100.0,0,8,0,2025-01-29
100264,543,2,35800.0,1,64,1,2025-03-01
100265,624,0,0.0,1,176,1,2024-04-03
100266,496,0,0.0,0,8,0,2023-01-26
100267,560,2,46900.0,1,40,1,2024-09-20
100268,680,2,48100.0,0,3,0,2024-09-06
100269,361,1,16800.0,0,1,0,2023-01-14
100270,639,3,74000.0,0,0,0,2024-05-21
100271,688,1,10200.0,0,12,0,2023-01-30
100272,530,0,0.0,1,85,1,2023-08-15
100273,549,0,0.0,0,9,0,2024-06-30
100274,662,2,44800.0,0,2,0,2024-02-25
100275,517,1,17100.0,0,10,0,2024-07-28
100276,674,3,60000.0,0,9,0,2024-01-10
100277,645,1,17100.0,0,10,0,2023-09-26
100278,864,1,22700.0,0,7,0,2023-03-07
100279,546,1,22300.0,0,7,0,2024-07-09
100280,547,0,0.0,0,0,0,2024-05-04
100281,609,2,29200.0,0,1,0,2023-04-04
100282,589,2,26800.0,0,12,0,2023-04-17
100283,823,0,0.0,0,6,0,2024-11-24
100284,733,3,24800.0,0,1,0,2025-01-17
100285,545,2,49500.0,0,9,0,2023-11-18
100286,546,2,42100.0,0,4,0,2025-05-31
100287,490,3,34900.0,0,7,0,2024-05-31
100288,460,2,15000.0,0,3,0,2024-05-09
100289,241,3,31400.0,2,170,1,2025-06-02
100290,757,0,0.0,0,0,0,2024-07-11
100291,485,1,21700.0,3,83,1,2024-04-13
100292,548,1,10000.0,0,5,0,2023-04-23
100293,900,0,0.0,0,0,0,2024-04-21
100294,508,1,22600.0,0,6,0,2023-10-25
100295,601,0,0.0,0,3,0,2023-04-05
100296,656,0,0.0,0,6,0,2024-04-26
100297,673,2,7500.0,0,13,0,2023-02-11
100298,577,3,72100.0,1,161,1,2025-04-18
100299,731,0,0.0,0,1,0,2025-04-14
100300,677,2,28400.0,0,6,0,2024-10-17
100301,572,1,22200.0,1,104,1,2025-02-19
100302,530,2,46900.0,0,9,0,2025-01-17
100303,610,1,23400.0,0,8,0,2024-12-30
100304,676,0,0.0,0,0,0,2023-04-24
100305,712,0,0.0,0,0,0,2025-06-13
100306,566,1,7200.0,0,6,0,2023-08-03
100307,518,4,60500.0,0,7,0,2023-03-31
100308,720,0,0.0,0,5,0,2025-03-02
100309,611,2,50000.0,0,7,0,2024-11-23
100310,726,2,44100.0,0,8,0,2024-06-26
100311,490,4,15200.0,0,12,0,2023-04-13
100312,598,1,25000.0,0,4,0,2023-10-16
100313,689,0,0.0,0,0,0,2024-07-27
100314,561,1,24200.0,2,85,1,2024-09-26
100315,807,1,18900.0,0,5,0,2024-10-10
100316,732,1,5800.0,0,5,0,2023-08-16
100317,590,1,21100.0,0,11,0,2024-09-20
100318,575,1,14300.0,0,4,0,2023-04-12
100319,650,1,10000.0,0,11,0,2023-08-27
100320,649,0,0.0,0,2,0,2023-01-19
100321,692,0,0.0,0,8,0,2025-03-09
100322,470,0,0.0,0,7,0,2023-11-29
100323,501,1,3300.0,0,13,0,2024-05-24
100324,676,4,55200.0,0,10,0,2023-01-14
100325,622,0,0.0,0,14,0,2025-04-03
100326,611,0,0.0,0,7,0,2023-12-29
100327,688,3,57500.0,0,4,0,2024-02-08
100328,724,0,0.0,0,3,0,2023-11-23
100329,657,0,0.0,0,3,0,2023-11-07
100330,642,1,9900.0,0,11,0,2023-10-07
100331,594,3,49800.0,0,5,0,2025-03-19
100332,625,1,24000.0,0,5,0,2023-03-14
100333,505,1,21300.0,0,14,0,2025-01-04
100334,491,0,0.0,0,0,0,2023-08-22
100335,705,0,0.0,0,1,0,2023-03-23
100336,798,0,0.0,0,13,0,2025-02-28
100337,463,0,0.0,1,125,1,2024-01-31
100338,680,4,12100.0,0,12,0,2025-03-28
100339,431,2,29500.0,2,121,1,2023-03-13
100340,803,1,22300.0,0,4,0,2023-03-08
100341,552,3,14900.0,0,1,0,2025-02-22
100342,850,0,0.0,0,10,0,2023-08-16
100343,562,3,31300.0,0,8,0,2024-03-10
100344,518,3,47200.0,0,2,0,2023-05-28
100345,613,0,0.0,0,10,0,2023-08-27
100346,713,2,40200.0,0,2,0,2024-06-07
100347,713,0,0.0,0,13,0,2023-03-07
100348,702,3,62700.0,0,6,0,2024-11-28
100349,595,1,18800.0,0,7,0,2023-09-24
100350,676,0,0.0,0,6,0,2025-04-01
100351,867,0,0.0,0,9,0,2023-11-25
100352,694,1,15900.0,0,12,0,2024-10-13
100353,528,2,37600.0,0,13,0,2025-05-27
100354,667,3,67700.0,0,10,0,2024-08-15
100355,410,5,109500.0,0,1,0,2025-06-14
100356,709,1,19700.0,0,12,0,2024-10-08
100357,431,1,11500.0,2,131,1,2024-02-22
100358,707,1,20800.0,0,9,0,2025-06-08
100359,561,1,24400.0,0,0,0,2025-04-05
100360,737,1,10100.0,0,12,0,2025-04-22
100361,636,1,17500.0,0,1,0,2024-12-22
100362,753,0,0.0,0,14,0,2023-03-29
100363,700,0,0.0,0,1,0,2024-11-24
100364,734,0,0.0,0,1,0,2023-07-28
100365,517,1,11600.0,2,140,1,2023-09-03
100366,559,1,16700.0,1,54,1,2024-12-06
100367,443,1,11000.0,0,13,0,2024-10-31
100368,513,1,23500.0,0,2,0,2023-03-11
100369,603,1,21300.0,0,1,0,2025-06-11
100370,585,1,3200.0,0,6,0,2024-09-15
100371,672,1,11200.0,0,9,0,2025-01-27
100372,543,1,14100.0,1,87,1,2025-03-25
100373,597,0,0.0,1,174,1,2024-05-02
100374,704,2,32700.0,0,14,0,2023-10-28
100375,661,1,23400.0,0,5,0,2023-01-01
100376,571,1,19400.0,1,56,1,2024-10-14
100377,607,1,17100.0,0,1,0,2023-12-08
100378,715,2,36300.0,0,6,0,2024-01-13
100379,616,1,23000.0,0,6,0,2024-08-13
100380,564,1,14100.0,0,10,0,2024-01-11
100381,508,3,44700.0,2,123,1,2023-05-07
100382,547,0,0.0,1,167,1,2025-02-23
100383,490,2,16400.0,0,7,0,2024-01-05
100384,711,3,41400.0,0,4,0,2024-10-10
100385,809,0,0.0,0,12,0,2024-10-04
100386,603,2,38700.0,0,13,0,2023-08-14
100387,542,4,93600.0,0,13,0,2025-03-17
100388,488,6,126100.0,2,49,1,2025-06-10
100389,797,0,0.0,0,9,0,2024-09-23
100390,707,1,22500.0,0,5,0,2025-02-04
100391,487,0,0.0,0,5,0,2024-07-04
100392,666,2,13600.0,0,6,0,2023-10-06
100393,719,0,0.0,0,6,0,2023-07-23
100394,640,2,11400.0,0,8,0,2025-05-01
100395,733,0,0.0,0,4,0,2024-08-29
100396,590,1,14100.0,1,96,1,2024-03-14
100397,594,2,29700.0,0,0,0,2025-01-28
100398,345,1,5700.0,1,97,1,2024-05-23
100399,564,0,0.0,0,11,0,2024-02-02
100400,548,4,88100.0,0,10,0,2023-02-27
100401,653,2,42000.0,0,4,0,2025-03-12
100402,648,1,20300.0,0,2,0,2023-03-09
100403,627,3,56000.0,0,5,0,2023-11-02
100404,722,0,0.0,0,14,0,2024-06-27
100405,414,3,64200.0,0,9,0,2024-07-23
100406,610,0,0.0,0,11,0,2024-08-07
100407,454,4,25000.0,1,96,1,2025-01-30
100408,423,4,59600.0,0,13,0,2024-04-06
100409,586,1,4100.0,0,5,0,2025-03-11
100410,640,2,35300.0,0,9,0,2024-06-11
100411,695,1,23200.0,0,2,0,2024-02-27
100412,675,2,28400.0,0,6,0,2023-12-16
100413,539,0,0.0,0,1,0,2024-02-22
100414,609,1,12200.0,0,10,0,2024-03-05
100415,716,1,20600.0,0,13,0,2025-05-04
100416,759,0,0.0,0,2,0,2023-06-02
100417,581,2,44400.0,0,0,0,2024-02-25
100418,648,0,0.0,0,6,0,2023-04-24
100419,548,1,11100.0,0,14,0,2023-01-04
100420,737,1,17400.0,0,10,0,2024-02-17
100421,894,0,0.0,0,3,0,2024-03-14
100422,517,2,14900.0,0,4,0,2023-09-22
100423,720,4,18200.0,0,5,0,2024-06-30
100424,653,1,8300.0,0,1,0,2023-01-15
100425,535,5,102600.0,0,7,0,2024-11-02
100426,490,0,0.0,1,139,1,2024-01-13
100427,836,2,34800.0,0,10,0,2023-03-15
100428,702,0,0.0,0,12,0,2025-04-19
100429,706,2,49300.0,0,1,0,2024-06-04
100430,577,2,32200.0,0,14,0,2024-03-01
100431,578,1,20400.0,0,12,0,2024-07-04
100432,443,2,40900.0,0,9,0,2024-05-13
100433,651,2,25600.0,0,10,0,2024-09-04
100434,602,3,13800.0,0,0,0,2024-10-20
100435,490,2,11300.0,0,7,0,2023-09-07
100436,479,3,37600.0,0,4,0,2024-08-04
100437,835,0,0.0,0,7,0,2024-11-23
100438,570,3,44500.0,2,161,1,2023-05-05
100439,679,0,0.0,0,0,0,2024-12-11
100440,428,1,22600.0,0,2,0,2023-11-09
100441,532,0,0.0,0,6,0,2023-05-05
100442,455,2,21800.0,0,9,0,2024-10-03
100443,645,2,19300.0,0,4,0,2024-11-28
100444,534,2,13400.0,0,13,0,2024-05-14
100445,677,1,15200.0,0,5,0,2024-07-12
100446,428,4,24500.0,2,115,1,2024-02-13
100447,553,2,7800.0,1,32,1,2024-01-28
100448,699,0,0.0,0,6,0,2023-10-23
100449,793,2,39100.0,0,13,0,2024-12-06
100450,567,2,31300.0,0,5,0,2024-03-19
100451,566,0,0.0,0,8,0,2023-04-26
100452,636,1,23300.0,0,8,0,2023-08-08
100453,832,0,0.0,0,3,0,2023-11-20
100454,561,0,0.0,0,8,0,2024-11-03
100455,564,1,6200.0,0,4,0,2025-03-16
100456,510,1,20800.0,3,154,1,2023-06-03
100457,488,1,17700.0,2,113,1,2023-05-11
100458,613,0,0.0,0,11,0,2024-04-13
100459,667,0,0.0,0,13,0,2025-04-16
100460,598,0,0.0,1,86,1,2023-09-18
100461,712,1,4300.0,0,1,0,2024-07-20
100462,465,2,38400.0,0,10,0,2024-10-14
100463,457,2,14400.0,0,13,0,2023-01-08
100464,677,0,0.0,0,9,0,2023-11-25
100465,501,1,24700.0,0,7,0,2023-05-23
100466,435,3,36300.0,1,44,1,2025-06-09
100467,631,0,0.0,0,0,0,2023-02-18
100468,642,1,8600.0,0,13,0,2023-04-29
100469,609,5,82900.0,0,0,0,2024-11-25
100470,741,0,0.0,0,12,0,2023-05-25
100471,827,0,0.0,0,11,0,2023-08-21
100472,713,1,10800.0,0,1,0,2024-05-15
100473,669,2,14700.0,0,8,0,2024-05-28
100474,706,2,19000.0,0,7,0,2025-06-17
100475,593,2,6200.0,0,4,0,2025-02-06
100476,615,3,31300.0,0,14,0,2025-01-24
100477,516,2,37800.0,0,10,0,2025-03-22
100478,503,2,26300.0,0,8,0,2024-05-20
100479,655,1,6100.0,0,10,0,2025-01-27
100480,429,5,51800.0,0,11,0,2024-10-02
100481,549,3,26200.0,0,14,0,2024-03-29
100482,592,2,31900.0,1,168,1,2025-04-25
100483,458,0,0.0,0,5,0,2023-05-11
100484,525,2,38200.0,0,2,0,2023-12-12
100485,654,1,6000.0,0,10,0,2023-11-10
100486,736,0,0.0,0,3,0,2024-05-03
100487,578,2,40100.0,0,8,0,2023-10-31
100488,649,0,0.0,0,8,0,2024-01-19
100489,427,1,7200.0,1,41,1,2025-06-11
100490,477,1,17100.0,0,10,0,2024-11-08
100491,378,0,0.0,1,91,1,2024-12-31
100492,701,2,28000.0,0,9,0,2023-11-16
100493,600,1,14100.0,0,0,0,2023-10-22
100494,609,2,21500.0,0,11,0,2024-04-10
100495,618,1,16200.0,0,6,0,2024-01-11
100496,665,0,0.0,0,13,0,2024-08-10
100497,790,0,0.0,0,3,0,2023-09-04
100498,624,2,10000.0,0,3,0,2023-05-10
100499,513,1,14200.0,0,9,0,2024-01-02
100500,708,1,19700.0,0,11,0,2025-01-08
100501,900,0,0.0,0,11,0,2023-03-14
100502,544,5,94300.0,0,0,0,2023-03-21
100503,535,2,42500.0,0,13,0,2025-01-21
100504,291,1,13200.0,0,7,0,2023-12-11
100505,332,3,15300.0,1,45,1,2024-04-26
100506,784,0,0.0,0,2,0,2024-11-21
100507,562,1,6900.0,0,10,0,2024-07-02
100508,428,2,24400.0,0,1,0,2025-05-26
100509,613,3,64600.0,0,3,0,2023-06-27
100510,884,0,0.0,0,8,0,2025-01-17
100511,605,2,21400.0,0,11,0,2024-02-12
100512,785,0,0.0,0,4,0,2023-04-24
100513,523,1,24200.0,0,5,0,2024-02-24
100514,717,0,0.0,0,8,0,2024-03-28
100515,563,2,36100.0,0,6,0,2023-03-31
100516,525,1,24100.0,0,12,0,2024-03-13
100517,533,2,35300.0,0,12,0,2023-01-29
100518,594,3,45400.0,0,9,0,2024-08-25
100519,661,4,57400.0,0,8,0,2024-07-11
100520,566,1,17400.0,0,3,0,2023-04-22
100521,696,0,0.0,0,9,0,2024-05-29
100522,532,2,35800.0,0,5,0,2023-08-28
100523,613,1,16100.0,0,13,0,2024-08-04
100524,539,3,73300.0,1,104,1,2023-08-04
100525,765,1,21900.0,0,5,0,2025-03-18
100526,615,1,5100.0,0,1,0,2024-04-08
100527,669,0,0.0,0,3,0,2025-06-18
100528,558,1,6900.0,0,1,0,2023-03-13
100529,561,0,0.0,0,11,0,2025-01-27
100530,478,2,14900.0,1,122,1,2023-02-23
100531,765,0,0.0,0,8,0,2023-01-21
100532,446,1,10700.0,0,14,0,2023-06-02
100533,538,1,22800.0,0,9,0,2023-10-05
100534,715,1,15000.0,0,9,0,2025-03-19
100535,449,1,10100.0,2,43,1,2024-12-02
100536,630,0,0.0,0,0,0,2023-03-13
100537,502,0,0.0,0,14,0,2025-03-26
100538,610,1,24400.0,0,10,0,2023-08-03
100539,587,1,7500.0,1,102,1,2025-04-04
100540,402,1,19800.0,1,30,1,2023-07-04
100541,691,0,0.0,0,7,0,2024-08-30
100542,466,2,22700.0,0,3,0,2024-07-20
100543,526,1,12300.0,0,6,0,2025-02-01
100544,645,0,0.0,0,2,0,2024-07-12
100545,648,2,10900.0,0,12,0,2023-05-26
100546,658,0,0.0,0,4,0,2025-06-18
100547,731,0,0.0,0,3,0,2023-12-21
100548,289,3,9100.0,1,136,1,2025-05-01
100549,680,1,5000.0,0,1,0,2023-03-17
100550,598,2,23300.0,0,3,0,2025-03-26
100551,520,1,20100.0,1,158,1,2023-09-21
100552,623,3,72700.0,0,13,0,2025-05-21
100553,696,2,27700.0,0,14,0,2024-11-30
100554,507,3,75000.0,0,13,0,2025-05-29
100555,727,0,0.0,0,1,0,2023-06-18
100556,741,0,0.0,0,9,0,2024-10-25
100557,617,0,0.0,0,0,0,2024-11-02
100558,434,1,10200.0,2,149,1,2025-03-24
100559,848,0,0.0,0,11,0,2024-11-24
