loan_id,customer_id,acquisition_channel,application_date,requested_amount_kes,internal_risk_tier_at_application,internal_default_prob_at_application,approved,approved_amount_kes,interest_rate_monthly_pct,tenor_days,disbursed_date,loan_status,defaulted,days_late,repaid_pct_of_principal,prior_completed_loans_with_us,prior_defaults_with_us,prior_avg_days_late_with_us,prior_repayment_rate_with_us
500019,100009,digital,2023-05-15,27900.0,C,0.4356,1,18500.0,16.09,60.0,2023-05-15,closed_good,False,7.0,1.0,0,0,0.0,1.0
500020,100010,digital,2023-12-03,17500.0,D,0.9,0,0.0,,,,rejected,,,,0,0,0.0,1.0
500021,100011,sales_assisted,2025-06-09,16900.0,C,0.4258,1,11400.0,17.84,30.0,2025-06-09,closed_good,False,4.0,1.0,0,0,0.0,1.0
500022,100011,sales_assisted,2025-07-18,28800.0,C,0.376,1,19900.0,15.53,90.0,2025-07-19,closed_default,True,129.0,0.084,1,0,4.0,1.0
500023,100012,sales_assisted,2023-10-18,8800.0,D,0.8774,1,4000.0,20.51,90.0,2023-10-19,closed_good,False,8.0,1.0,0,0,0.0,1.0
500024,100013,sales_assisted,2024-12-05,29900.0,D,0.6297,0,0.0,,,,rejected,,,,0,0,0.0,1.0
500025,100014,digital,2024-09-27,59600.0,C,0.4287,1,38100.0,13.81,90.0,2024-09-28,closed_good,False,12.0,1.0,0,0,0.0,1.0
500026,100015,digital,2024-01-25,20200.0,B,0.2383,1,17800.0,9.55,30.0,2024-01-25,closed_good,False,0.0,1.0,0,0,0.0,1.0
500027,100016,digital,2024-11-20,27800.0,D,0.7205,0,0.0,,,,rejected,,,,0,0,0.0,1.0
500028,100016,digital,2024-12-23,13100.0,D,0.5751,0,0.0,,,,rejected,,,,0,0,0.0,1.0
500029,100017,digital,2024-05-26,10600.0,D,0.5093,1,4900.0,20.94,60.0,2024-05-27,closed_good,False,0.0,1.0,0,0,0.0,1.0
500030,100017,digital,2024-08-09,16500.0,B,0.1462,1,14600.0,10.58,60.0,2024-08-10,closed_good,False,0.0,1.0,1,0,0.0,1.0
500031,100017,digital,2024-09-23,16700.0,B,0.22,1,15000.0,12.55,30.0,2024-09-23,closed_good,False,5.0,1.0,2,0,0.0,1.0
500032,100017,digital,2024-11-18,2300.0,C,0.3071,1,1500.0,14.92,30.0,2024-11-18,closed_good,False,2.0,1.0,3,0,1.7,1.0
500033,100018,sales_assisted,2024-07-15,22700.0,D,0.9,0,0.0,,,,rejected,,,,0,0,0.0,1.0
500034,100019,sales_assisted,2023-11-27,34800.0,D,0.9,0,0.0,,,,rejected,,,,0,0,0.0,1.0
500035,100019,sales_assisted,2024-02-05,24000.0,D,0.9,0,0.0,,,,rejected,,,,0,0,0.0,1.0
500036,100020,sales_assisted,2025-05-06,2800.0,D,0.8295,1,1400.0,21.05,90.0,2025-05-06,closed_good,False,2.0,1.0,0,0,0.0,1.0
500037,100020,sales_assisted,2025-06-27,3900.0,D,0.8791,0,0.0,,,,rejected,,,,1,0,2.0,1.0
500038,100020,sales_assisted,2025-08-20,7000.0,D,0.756,0,0.0,,,,rejected,,,,1,0,2.0,1.0
500039,100021,digital,2023-08-28,21800.0,D,0.9,1,10300.0,20.63,90.0,2023-08-29,closed_default,True,43.0,0.174,0,0,0.0,1.0
500040,100022,sales_assisted,2024-04-29,24500.0,C,0.3666,1,16000.0,13.59,90.0,2024-04-30,closed_default,True,110.0,0.237,0,0,0.0,1.0
500041,100022,sales_assisted,2024-07-29,34900.0,D,0.9,1,17000.0,23.58,120.0,2024-07-30,closed_default,True,167.0,0.466,1,1,110.0,0.237
500042,100022,sales_assisted,2024-11-23,15800.0,D,0.9,0,0.0,,,,rejected,,,,2,2,138.5,0.352
500043,100023,sales_assisted,2025-03-19,42500.0,D,0.5636,0,0.0,,,,rejected,,,,0,0,0.0,1.0
500044,100023,sales_assisted,2025-05-03,35500.0,B,0.2373,1,29700.0,12.77,30.0,2025-05-03,closed_good,False,11.0,1.0,0,0,0.0,1.0
500045,100024,sales_assisted,2024-10-03,8500.0,D,0.9,0,0.0,,,,rejected,,,,0,0,0.0,1.0
500046,100024,sales_assisted,2024-12-22,5700.0,D,0.9,1,2800.0,22.14,60.0,2024-12-22,closed_default,True,129.0,0.35,0,0,0.0,1.0
500047,100024,sales_assisted,2025-03-18,2100.0,D,0.9,0,0.0,,,,rejected,,,,1,1,129.0,0.35
500048,100024,sales_assisted,2025-06-01,3800.0,D,0.9,0,0.0,,,,rejected,,,,1,1,129.0,0.35
500049,100025,digital,2024-06-12,21900.0,D,0.9,1,10100.0,20.56,30.0,2024-06-13,written_off,True,168.0,0.201,0,0,0.0,1.0
500050,100026,digital,2023-03-22,36900.0,C,0.3295,1,25300.0,16.19,90.0,2023-03-23,written_off,True,60.0,0.575,0,0,0.0,1.0
500051,100026,digital,2023-05-01,32400.0,D,0.7466,1,14900.0,21.9,90.0,2023-05-02,closed_default,True,182.0,0.193,1,1,60.0,0.575
500052,100026,digital,2023-06-08,44100.0,D,0.9,0,0.0,,,,rejected,,,,2,2,121.0,0.384
500053,100027,digital,2023-11-30,25400.0,D,0.6014,0,0.0,,,,rejected,,,,0,0,0.0,1.0
500054,100028,digital,2024-02-08,6600.0,D,0.8511,0,0.0,,,,rejected,,,,0,0,0.0,1.0
500055,100028,digital,2024-03-21,17300.0,D,0.8648,1,8000.0,21.58,90.0,2024-03-22,closed_default,True,87.0,0.576,0,0,0.0,1.0
500056,100028,digital,2024-04-16,20700.0,D,0.9,0,0.0,,,,rejected,,,,1,1,87.0,0.576
500057,100028,digital,2024-06-20,21800.0,D,0.9,0,0.0,,,,rejected,,,,1,1,87.0,0.576
500058,100029,sales_assisted,2025-02-08,12100.0,D,0.4665,1,5600.0,20.62,90.0,2025-02-09,closed_default,True,124.0,0.369,0,0,0.0,1.0
500059,100029,sales_assisted,2025-03-12,21900.0,D,0.9,1,10800.0,23.14,30.0,2025-03-12,closed_default,True,132.0,0.277,1,1,124.0,0.369
500060,100029,sales_assisted,2025-06-14,23100.0,D,0.9,0,0.0,,,,rejected,,,,2,2,128.0,0.323
500061,100030,sales_assisted,2025-02-14,6000.0,C,0.3096,1,3800.0,14.87,60.0,2025-02-14,closed_good,False,2.0,1.0,0,0,0.0,1.0
500062,100030,sales_assisted,2025-03-11,31700.0,C,0.3369,1,21600.0,14.85,30.0,2025-03-12,closed_good,False,10.0,1.0,1,0,2.0,1.0
500063,100031,sales_assisted,2024-02-07,8200.0,D,0.8325,0,0.0,,,,rejected,,,,0,0,0.0,1.0
500064,100032,digital,2023-11-22,21100.0,D,0.9,1,10400.0,20.45,60.0,2023-11-22,closed_good,False,3.0,1.0,0,0,0.0,1.0
500065,100033,digital,2023-06-25,41900.0,C,0.4392,0,0.0,,,,rejected,,,,0,0,0.0,1.0
500066,100034,digital,2024-03-11,14700.0,D,0.9,1,7300.0,23.24,120.0,2024-03-11,closed_default,True,65.0,0.408,0,0,0.0,1.0
500067,100034,digital,2024-05-31,9100.0,D,0.9,0,0.0,,,,rejected,,,,1,1,65.0,0.408
500068,100034,digital,2024-08-26,2000.0,D,0.9,0,0.0,,,,rejected,,,,1,1,65.0,0.408
500069,100035,digital,2023-05-25,18500.0,D,0.9,0,0.0,,,,rejected,,,,0,0,0.0,1.0
500070,100035,digital,2023-06-23,33500.0,D,0.9,0,0.0,,,,rejected,,,,0,0,0.0,1.0
500071,100035,digital,2023-07-24,35000.0,D,0.9,0,0.0,,,,rejected,,,,0,0,0.0,1.0
500072,100036,digital,2023-06-04,16600.0,D,0.9,0,0.0,,,,rejected,,,,0,0,0.0,1.0
500073,100036,digital,2023-08-03,22000.0,D,0.9,0,0.0,,,,rejected,,,,0,0,0.0,1.0
500074,100036,digital,2023-10-09,35900.0,D,0.9,0,0.0,,,,rejected,,,,0,0,0.0,1.0
500075,100037,digital,2025-04-30,37500.0,D,0.7739,0,0.0,,,,rejected,,,,0,0,0.0,1.0
500076,100037,digital,2025-08-25,21700.0,D,0.9,1,10200.0,20.84,60.0,2025-08-26,closed_default,True,58.0,0.446,0,0,0.0,1.0
500077,100037,digital,2025-11-21,31600.0,D,0.9,0,0.0,,,,rejected,,,,1,1,58.0,0.446
500078,100038,digital,2024-04-30,28700.0,C,0.3552,1,20000.0,17.79,30.0,2024-05-01,closed_good,False,0.0,1.0,0,0,0.0,1.0
500079,100038,digital,2024-07-05,50400.0,D,0.8462,0,0.0,,,,rejected,,,,1,0,0.0,1.0
500080,100039,sales_assisted,2023-12-17,17400.0,D,0.6166,0,0.0,,,,rejected,,,,0,0,0.0,1.0
500081,100039,sales_assisted,2024-03-13,27800.0,C,0.3818,1,19500.0,16.84,30.0,2024-03-14,closed_good,False,4.0,1.0,0,0,0.0,1.0
500082,100040,digital,2024-01-17,36200.0,D,0.4808,0,0.0,,,,rejected,,,,0,0,0.0,1.0
500083,100040,digital,2024-02-14,23600.0,D,0.5765,0,0.0,,,,rejected,,,,0,0,0.0,1.0
500084,100041,sales_assisted,2023-12-31,16500.0,C,0.3118,1,10600.0,15.84,120.0,2024-01-01,closed_good,False,0.0,1.0,0,0,0.0,1.0
500085,100041,sales_assisted,2024-02-20,35500.0,C,0.3412,1,23600.0,17.68,90.0,2024-02-20,written_off,True,84.0,0.083,1,0,0.0,1.0
500086,100041,sales_assisted,2024-05-24,29400.0,D,0.5453,1,13700.0,23.28,60.0,2024-05-25,closed_good,False,2.0,1.0,2,1,42.0,0.541
500087,100042,sales_assisted,2025-02-02,42300.0,A,0.0648,1,40000.0,8.63,90.0,2025-02-03,closed_good,False,12.0,1.0,0,0,0.0,1.0
500088,100042,sales_assisted,2025-03-13,50700.0,B,0.1511,1,43700.0,10.22,120.0,2025-03-14,closed_good,False,8.0,1.0,1,0,12.0,1.0
500089,100042,sales_assisted,2025-05-15,21900.0,B,0.226,1,19200.0,10.96,120.0,2025-05-15,closed_good,False,0.0,1.0,2,0,10.0,1.0
500090,100043,digital,2024-05-06,37200.0,D,0.4938,0,0.0,,,,rejected,,,,0,0,0.0,1.0
500091,100044,sales_assisted,2024-08-11,5600.0,D,0.5861,0,0.0,,,,rejected,,,,0,0,0.0,1.0
500092,100044,sales_assisted,2024-09-10,14200.0,D,0.5291,1,6700.0,19.97,120.0,2024-09-11,closed_default,True,175.0,0.268,0,0,0.0,1.0
500093,100045,sales_assisted,2024-06-03,33900.0,B,0.1472,1,29200.0,9.91,30.0,2024-06-03,closed_good,False,0.0,1.0,0,0,0.0,1.0
500094,100046,digital,2024-05-25,24800.0,D,0.849,1,11300.0,18.73,60.0,2024-05-25,closed_default,True,149.0,0.199,0,0,0.0,1.0
500095,100046,digital,2024-07-10,15900.0,D,0.9,0,0.0,,,,rejected,,,,1,1,149.0,0.199
500096,100046,digital,2024-10-25,27400.0,D,0.9,0,0.0,,,,rejected,,,,1,1,149.0,0.199
500097,100046,digital,2024-12-28,16500.0,D,0.9,1,7900.0,19.2,30.0,2024-12-28,closed_default,True,164.0,0.17,1,1,149.0,0.199
500098,100047,digital,2024-01-29,25400.0,D,0.5094,0,0.0,,,,rejected,,,,0,0,0.0,1.0
500099,100047,digital,2024-04-07,32500.0,D,0.6823,1,15500.0,22.39,90.0,2024-04-08,closed_good,False,3.0,1.0,0,0,0.0,1.0
500100,100048,sales_assisted,2024-11-23,22300.0,C,0.3409,1,14800.0,14.03,120.0,2024-11-23,closed_default,True,192.0,0.104,0,0,0.0,1.0
500101,100049,digital,2025-04-25,24600.0,D,0.8727,1,11400.0,20.42,90.0,2025-04-26,closed_good,False,6.0,1.0,0,0,0.0,1.0
500102,100049,digital,2025-06-01,26000.0,D,0.5448,0,0.0,,,,rejected,,,,1,0,6.0,1.0
500103,100049,digital,2025-08-21,38200.0,D,0.8959,0,0.0,,,,rejected,,,,1,0,6.0,1.0
500104,100050,digital,2023-11-16,65300.0,C,0.3946,1,44700.0,17.38,30.0,2023-11-16,closed_good,False,2.0,1.0,0,0,0.0,1.0
500105,100050,digital,2024-01-08,56000.0,C,0.2882,0,0.0,,,,rejected,,,,1,0,2.0,1.0
500106,100051,digital,2023-11-01,15300.0,B,0.1434,1,13600.0,11.05,90.0,2023-11-02,closed_good,False,11.0,1.0,0,0,0.0,1.0
500107,100051,digital,2023-11-27,24300.0,B,0.2036,1,20400.0,9.07,60.0,2023-11-28,closed_good,False,0.0,1.0,1,0,11.0,1.0
500108,100052,sales_assisted,2024-11-19,2000.0,D,0.6458,0,0.0,,,,rejected,,,,0,0,0.0,1.0
500109,100053,sales_assisted,2023-04-15,50300.0,B,0.1586,1,44200.0,11.47,60.0,2023-04-16,closed_good,False,0.0,1.0,0,0,0.0,1.0
500110,100054,sales_assisted,2024-02-13,27000.0,D,0.9,1,12700.0,20.36,30.0,2024-02-14,closed_default,True,132.0,0.565,0,0,0.0,1.0
500111,100055,sales_assisted,2025-06-14,11100.0,D,0.6132,1,5000.0,22.32,60.0,2025-06-15,closed_good,False,5.0,1.0,0,0,0.0,1.0
500112,100055,sales_assisted,2025-08-29,37600.0,D,0.821,0,0.0,,,,rejected,,,,1,0,5.0,1.0
500113,100055,sales_assisted,2025-10-28,23500.0,D,0.5055,0,0.0,,,,rejected,,,,1,0,5.0,1.0
500114,100055,sales_assisted,2025-12-02,28600.0,D,0.5972,0,0.0,,,,rejected,,,,1,0,5.0,1.0
500115,100056,digital,2024-09-21,7300.0,D,0.6677,0,0.0,,,,rejected,,,,0,0,0.0,1.0
500116,100056,digital,2024-11-06,13000.0,D,0.7162,0,0.0,,,,rejected,,,,0,0,0.0,1.0
500117,100057,digital,2023-07-26,9300.0,C,0.2928,1,6400.0,17.06,30.0,2023-07-26,closed_default,True,69.0,0.376,0,0,0.0,1.0
500118,100058,digital,2024-01-04,16100.0,D,0.8203,0,0.0,,,,rejected,,,,0,0,0.0,1.0
500119,100058,digital,2024-02-07,29300.0,D,0.7518,0,0.0,,,,rejected,,,,0,0,0.0,1.0
500120,100059,digital,2025-05-03,58400.0,A,0.0338,1,58000.0,7.24,60.0,2025-05-03,closed_good,False,0.0,1.0,0,0,0.0,1.0
500121,100059,digital,2025-08-04,45000.0,A,0.0413,1,41400.0,7.14,60.0,2025-08-05,closed_good,False,1.0,1.0,1,0,0.0,1.0
500122,100060,sales_assisted,2024-04-23,24100.0,D,0.7615,0,0.0,,,,rejected,,,,0,0,0.0,1.0
500123,100060,sales_assisted,2024-06-01,23600.0,D,0.9,0,0.0,,,,rejected,,,,0,0,0.0,1.0
500124,100060,sales_assisted,2024-08-21,24600.0,C,0.4154,1,16300.0,15.4,120.0,2024-08-21,closed_default,True,77.0,0.41,0,0,0.0,1.0
500125,100061,digital,2025-02-09,21200.0,D,0.7778,0,0.0,,,,rejected,,,,0,0,0.0,1.0
500126,100062,digital,2025-01-04,15300.0,D,0.6043,1,7200.0,18.04,60.0,2025-01-04,closed_default,True,173.0,0.598,0,0,0.0,1.0
500127,100062,digital,2025-02-01,34100.0,D,0.9,0,0.0,,,,rejected,,,,1,1,173.0,0.598
500128,100063,sales_assisted,2024-12-03,17900.0,C,0.2706,0,0.0,,,,rejected,,,,0,0,0.0,1.0
500129,100063,sales_assisted,2025-02-01,27200.0,B,0.1481,1,24000.0,11.55,120.0,2025-02-01,closed_good,False,0.0,1.0,0,0,0.0,1.0
500130,100063,sales_assisted,2025-04-14,44800.0,A,0.1119,1,44200.0,6.25,30.0,2025-04-14,closed_good,False,0.0,1.0,1,0,0.0,1.0
500131,100064,sales_assisted,2024-08-08,8500.0,C,0.3036,0,0.0,,,,rejected,,,,0,0,0.0,1.0
500132,100065,digital,2023-05-02,14600.0,C,0.3404,0,0.0,,,,rejected,,,,0,0,0.0,1.0
500133,100065,digital,2023-06-24,7200.0,D,0.6197,0,0.0,,,,rejected,,,,0,0,0.0,1.0
500134,100065,digital,2023-09-28,13900.0,D,0.4903,0,0.0,,,,rejected,,,,0,0,0.0,1.0
500135,100066,digital,2023-09-26,39600.0,D,0.7762,0,0.0,,,,rejected,,,,0,0,0.0,1.0
500136,100066,digital,2023-12-16,29200.0,D,0.6149,0,0.0,,,,rejected,,,,0,0,0.0,1.0
500137,100066,digital,2024-03-07,39200.0,D,0.6357,0,0.0,,,,rejected,,,,0,0,0.0,1.0
500138,100066,digital,2024-05-01,39800.0,D,0.6937,0,0.0,,,,rejected,,,,0,0,0.0,1.0
500139,100067,digital,2023-02-04,14300.0,D,0.9,0,0.0,,,,rejected,,,,0,0,0.0,1.0
500140,100067,digital,2023-03-06,19800.0,D,0.9,0,0.0,,,,rejected,,,,0,0,0.0,1.0
500141,100067,digital,2023-06-22,21500.0,D,0.9,1,10000.0,23.81,120.0,2023-06-23,closed_default,True,170.0,0.498,0,0,0.0,1.0
500142,100067,digital,2023-09-13,15500.0,D,0.9,0,0.0,,,,rejected,,,,1,1,170.0,0.498
500143,100068,digital,2024-02-02,8500.0,D,0.5844,1,3800.0,22.3,60.0,2024-02-03,closed_default,True,82.0,0.11,0,0,0.0,1.0
500144,100068,digital,2024-04-21,18200.0,D,0.9,0,0.0,,,,rejected,,,,1,1,82.0,0.11
500145,100068,digital,2024-07-10,17500.0,D,0.9,0,0.0,,,,rejected,,,,1,1,82.0,0.11
500146,100069,digital,2023-06-05,16900.0,B,0.1345,1,14000.0,12.45,60.0,2023-06-05,closed_good,False,8.0,1.0,0,0,0.0,1.0
500147,100069,digital,2023-08-17,47300.0,B,0.2228,1,42200.0,10.73,90.0,2023-08-18,closed_good,False,0.0,1.0,1,0,8.0,1.0
500148,100069,digital,2023-10-06,35200.0,B,0.2194,0,0.0,,,,rejected,,,,2,0,4.0,1.0
500149,100069,digital,2024-01-27,37500.0,A,0.1196,1,35700.0,6.21,90.0,2024-01-27,closed_default,True,175.0,0.411,2,0,4.0,1.0
500150,100070,digital,2024-06-27,55000.0,D,0.7872,0,0.0,,,,rejected,,,,0,0,0.0,1.0
500151,100071,digital,2024-01-05,26900.0,B,0.1239,1,22800.0,9.37,120.0,2024-01-06,closed_good,False,2.0,1.0,0,0,0.0,1.0
500152,100072,sales_assisted,2025-05-02,69300.0,C,0.419,1,48500.0,13.72,60.0,2025-05-03,closed_good,False,0.0,1.0,0,0,0.0,1.0
500153,100072,sales_assisted,2025-07-29,37700.0,D,0.6686,0,0.0,,,,rejected,,,,1,0,0.0,1.0
500154,100072,sales_assisted,2025-11-21,39400.0,D,0.8169,1,17800.0,18.66,30.0,2025-11-22,closed_default,True,82.0,0.041,1,0,0.0,1.0
500155,100072,sales_assisted,2026-01-01,78400.0,D,0.9,0,0.0,,,,rejected,,,,2,1,41.0,0.52
500156,100073,digital,2024-12-21,16700.0,D,0.8836,0,0.0,,,,rejected,,,,0,0,0.0,1.0
500157,100073,digital,2025-04-07,34900.0,D,0.8664,0,0.0,,,,rejected,,,,0,0,0.0,1.0
500158,100074,digital,2023-07-23,13300.0,D,0.8263,0,0.0,,,,rejected,,,,0,0,0.0,1.0
500159,100074,digital,2023-11-04,15000.0,D,0.889,0,0.0,,,,rejected,,,,0,0,0.0,1.0
500160,100075,digital,2023-12-26,22300.0,B,0.1715,1,18900.0,9.63,30.0,2023-12-26,closed_good,False,13.0,1.0,0,0,0.0,1.0
500161,100076,digital,2024-01-13,24000.0,D,0.8546,0,0.0,,,,rejected,,,,0,0,0.0,1.0
500162,100076,digital,2024-04-10,23800.0,D,0.8826,1,11200.0,21.36,60.0,2024-04-10,written_off,True,150.0,0.035,0,0,0.0,1.0
500163,100077,sales_assisted,2023-02-02,13000.0,D,0.9,1,6500.0,20.92,30.0,2023-02-02,written_off,True,140.0,0.271,0,0,0.0,1.0
500164,100077,sales_assisted,2023-03-12,10800.0,D,0.9,0,0.0,,,,rejected,,,,1,1,140.0,0.271
500165,100078,digital,2024-10-20,67000.0,A,0.0964,1,64800.0,6.82,90.0,2024-10-21,closed_good,False,0.0,1.0,0,0,0.0,1.0
500166,100079,sales_assisted,2023-03-15,44400.0,C,0.4477,1,30200.0,15.32,120.0,2023-03-15,closed_default,True,88.0,0.06,0,0,0.0,1.0
500167,100079,sales_assisted,2023-04-24,38200.0,D,0.9,0,0.0,,,,rejected,,,,1,1,88.0,0.06
500168,100080,sales_assisted,2025-01-12,28500.0,D,0.6378,0,0.0,,,,rejected,,,,0,0,0.0,1.0
500169,100080,sales_assisted,2025-03-15,21800.0,D,0.7067,0,0.0,,,,rejected,,,,0,0,0.0,1.0
500170,100081,digital,2024-02-27,35800.0,D,0.8383,0,0.0,,,,rejected,,,,0,0,0.0,1.0
500171,100082,sales_assisted,2024-02-18,12900.0,D,0.9,0,0.0,,,,rejected,,,,0,0,0.0,1.0
500172,100082,sales_assisted,2024-05-21,8500.0,D,0.9,0,0.0,,,,rejected,,,,0,0,0.0,1.0
500173,100082,sales_assisted,2024-07-01,13100.0,D,0.9,0,0.0,,,,rejected,,,,0,0,0.0,1.0
500174,100082,sales_assisted,2024-09-16,16600.0,D,0.9,1,8100.0,23.41,90.0,2024-09-17,closed_default,True,184.0,0.258,0,0,0.0,1.0
500175,100083,digital,2023-01-30,22600.0,C,0.3103,1,14500.0,14.16,90.0,2023-01-31,closed_good,False,6.0,1.0,0,0,0.0,1.0
500176,100083,digital,2023-04-23,52700.0,C,0.3886,0,0.0,,,,rejected,,,,1,0,6.0,1.0
500177,100084,digital,2024-07-25,13300.0,B,0.175,1,11700.0,10.5,90.0,2024-07-26,closed_good,False,6.0,1.0,0,0,0.0,1.0
500178,100085,digital,2024-11-12,6200.0,C,0.3658,1,4100.0,14.56,30.0,2024-11-13,closed_good,False,0.0,1.0,0,0,0.0,1.0
500179,100085,digital,2025-01-04,16800.0,D,0.6653,0,0.0,,,,rejected,,,,1,0,0.0,1.0
500180,100085,digital,2025-04-05,25600.0,D,0.5431,0,0.0,,,,rejected,,,,1,0,0.0,1.0
500181,100085,digital,2025-05-10,14200.0,D,0.6307,0,0.0,,,,rejected,,,,1,0,0.0,1.0
500182,100086,sales_assisted,2024-01-09,12000.0,D,0.5583,0,0.0,,,,rejected,,,,0,0,0.0,1.0
500183,100087,digital,2023-08-13,26400.0,D,0.5488,0,0.0,,,,rejected,,,,0,0,0.0,1.0
500184,100087,digital,2023-12-04,43400.0,D,0.8368,0,0.0,,,,rejected,,,,0,0,0.0,1.0
500185,100088,digital,2025-06-24,31000.0,D,0.5733,1,14300.0,18.33,60.0,2025-06-25,closed_good,False,1.0,1.0,0,0,0.0,1.0
500186,100089,digital,2024-03-15,16300.0,D,0.9,1,7600.0,19.86,90.0,2024-03-15,closed_default,True,91.0,0.333,0,0,0.0,1.0
500187,100090,digital,2024-08-23,11300.0,D,0.5154,0,0.0,,,,rejected,,,,0,0,0.0,1.0
500188,100090,digital,2024-12-20,20300.0,D,0.6117,1,10000.0,23.62,90.0,2024-12-21,closed_good,False,0.0,1.0,0,0,0.0,1.0
500189,100090,digital,2025-02-09,22200.0,D,0.548,0,0.0,,,,rejected,,,,1,0,0.0,1.0
500190,100091,sales_assisted,2024-12-19,10300.0,D,0.8353,0,0.0,,,,rejected,,,,0,0,0.0,1.0
500191,100092,digital,2024-06-14,24900.0,C,0.3414,1,16200.0,13.33,90.0,2024-06-14,closed_default,True,188.0,0.135,0,0,0.0,1.0
500192,100093,digital,2024-05-17,42700.0,A,0.0292,1,40500.0,6.54,120.0,2024-05-18,closed_good,False,12.0,1.0,0,0,0.0,1.0
500193,100094,digital,2024-09-15,9100.0,D,0.5013,0,0.0,,,,rejected,,,,0,0,0.0,1.0
500194,100094,digital,2024-12-28,14000.0,C,0.3933,1,9300.0,15.0,60.0,2024-12-29,closed_good,False,0.0,1.0,0,0,0.0,1.0
500195,100094,digital,2025-03-05,41400.0,D,0.7461,0,0.0,,,,rejected,,,,1,0,0.0,1.0
500196,100095,sales_assisted,2025-03-12,26800.0,C,0.2903,1,17500.0,15.73,90.0,2025-03-12,closed_good,False,7.0,1.0,0,0,0.0,1.0
500197,100096,digital,2024-09-10,25000.0,D,0.9,1,11700.0,22.57,60.0,2024-09-10,closed_default,True,49.0,0.04,0,0,0.0,1.0
500198,100097,digital,2025-02-08,28600.0,D,0.9,0,0.0,,,,rejected,,,,0,0,0.0,1.0
500199,100097,digital,2025-04-20,9000.0,D,0.9,1,4300.0,18.71,120.0,2025-04-21,closed_default,True,166.0,0.087,0,0,0.0,1.0
500200,100097,digital,2025-06-14,24200.0,D,0.9,1,11600.0,22.5,90.0,2025-06-14,closed_good,False,1.0,1.0,1,1,166.0,0.087
500201,100098,digital,2023-09-16,28300.0,B,0.1779,1,25400.0,9.68,120.0,2023-09-17,closed_good,False,0.0,1.0,0,0,0.0,1.0
500202,100099,sales_assisted,2023-06-05,11400.0,D,0.9,1,5200.0,22.0,30.0,2023-06-05,written_off,True,57.0,0.5,0,0,0.0,1.0
500203,100099,sales_assisted,2023-09-15,14900.0,D,0.9,0,0.0,,,,rejected,,,,1,1,57.0,0.5
500204,100100,sales_assisted,2023-04-09,65000.0,B,0.1285,1,53400.0,11.05,60.0,2023-04-09,closed_good,False,5.0,1.0,0,0,0.0,1.0
