customer_id,app_tenure_days,app_sessions_per_week,device_type,contacts_permission_granted,sms_permission_granted,num_support_tickets_90d,profile_completeness_pct,days_since_last_app_open
100123,505.0,6.0,android_low_end,0.0,1.0,0.0,100.0,1.0
100124,224.0,7.0,android_mid,1.0,0.0,0.0,99.5,2.0
100125,387.0,3.0,android_low_end,1.0,0.0,1.0,89.5,3.0
100126,227.0,3.0,android_mid,0.0,1.0,0.0,83.1,1.0
100127,215.0,3.0,android_low_end,0.0,0.0,0.0,86.5,4.0
100128,87.0,4.0,android_low_end,0.0,1.0,1.0,97.3,2.0
100129,132.0,6.0,android_high,1.0,0.0,0.0,80.4,5.0
100130,136.0,7.0,android_mid,0.0,0.0,0.0,82.1,0.0
100131,,,,,,,,
100132,263.0,4.0,android_mid,0.0,0.0,0.0,70.3,0.0
100133,205.0,3.0,android_low_end,0.0,0.0,1.0,83.4,5.0
100134,232.0,5.0,android_mid,1.0,0.0,0.0,60.7,4.0
100135,252.0,2.0,android_low_end,0.0,1.0,0.0,72.5,5.0
100136,,,,,,,,
100137,190.0,8.0,android_low_end,1.0,0.0,1.0,78.9,4.0
100138,,,,,,,,
100139,400.0,8.0,android_mid,0.0,1.0,0.0,49.1,5.0
100140,447.0,6.0,android_mid,0.0,1.0,1.0,90.5,6.0
100141,218.0,1.0,android_mid,1.0,0.0,0.0,85.6,4.0
100142,,,,,,,,
100143,156.0,7.0,android_mid,0.0,1.0,2.0,48.2,6.0
100144,196.0,3.0,android_mid,1.0,1.0,0.0,79.3,4.0
100145,495.0,3.0,ios,0.0,1.0,1.0,78.5,4.0
100146,301.0,4.0,android_high,1.0,0.0,1.0,93.8,6.0
100147,1.0,8.0,android_mid,0.0,0.0,1.0,45.5,3.0
100148,80.0,6.0,android_mid,0.0,1.0,0.0,47.2,9.0
100149,365.0,13.0,android_mid,1.0,0.0,0.0,59.3,6.0
100150,,,,,,,,
100151,,,,,,,,
100152,186.0,3.0,android_mid,0.0,0.0,2.0,82.6,4.0
100153,70.0,8.0,android_low_end,0.0,1.0,0.0,81.7,3.0
100154,244.0,7.0,android_mid,0.0,1.0,1.0,63.1,6.0
100155,,,,,,,,
100156,152.0,4.0,android_high,0.0,0.0,0.0,82.7,4.0
100157,,,,,,,,
100158,,,,,,,,
100159,,,,,,,,
100160,89.0,10.0,android_mid,0.0,0.0,0.0,76.5,3.0
100161,,,,,,,,
100162,273.0,8.0,android_low_end,0.0,0.0,0.0,70.2,6.0
100163,433.0,5.0,android_low_end,0.0,1.0,0.0,100.0,4.0
100164,320.0,8.0,android_low_end,0.0,0.0,0.0,98.0,4.0
100165,240.0,8.0,android_mid,1.0,0.0,0.0,100.0,4.0
100166,,,,,,,,
100167,,,,,,,,
100168,459.0,1.0,android_mid,1.0,0.0,2.0,70.2,5.0
100169,,,,,,,,
100170,110.0,10.0,android_low_end,0.0,1.0,0.0,99.0,6.0
100171,308.0,4.0,android_low_end,0.0,0.0,0.0,94.6,2.0
100172,227.0,2.0,android_low_end,1.0,0.0,0.0,92.3,3.0
100173,,,,,,,,
100174,35.0,3.0,android_low_end,0.0,0.0,0.0,58.6,5.0
100175,1.0,5.0,android_low_end,0.0,1.0,0.0,64.0,6.0
100176,247.0,3.0,ios,0.0,1.0,1.0,61.6,5.0
100177,,,,,,,,
100178,,,,,,,,
100179,,,,,,,,
100180,,,,,,,,
100181,,,,,,,,
100182,347.0,6.0,ios,0.0,1.0,0.0,73.1,4.0
100183,314.0,5.0,android_mid,1.0,0.0,1.0,81.0,3.0
100184,,,,,,,,
100185,,,,,,,,
100186,247.0,7.0,android_mid,1.0,1.0,1.0,83.9,3.0
100187,1.0,5.0,android_low_end,1.0,1.0,0.0,92.1,5.0
100188,,,,,,,,
100189,456.0,4.0,ios,1.0,1.0,0.0,70.7,4.0
100190,,,,,,,,
100191,213.0,5.0,android_low_end,1.0,0.0,0.0,79.6,4.0
100192,210.0,9.0,android_low_end,1.0,0.0,0.0,71.1,2.0
100193,,,,,,,,
100194,449.0,5.0,android_low_end,0.0,0.0,0.0,88.1,4.0
100195,1.0,4.0,android_mid,0.0,0.0,0.0,100.0,2.0
100196,19.0,7.0,android_low_end,0.0,1.0,0.0,82.8,11.0
100197,,,,,,,,
100198,98.0,8.0,android_mid,0.0,1.0,1.0,63.4,3.0
100199,355.0,7.0,android_mid,1.0,1.0,0.0,55.8,2.0
100200,,,,,,,,
100201,,,,,,,,
100202,346.0,6.0,android_mid,1.0,1.0,0.0,96.6,5.0
100203,144.0,9.0,android_mid,0.0,1.0,0.0,99.8,3.0
100204,367.0,5.0,android_mid,0.0,0.0,0.0,89.4,2.0
100205,102.0,8.0,ios,0.0,1.0,0.0,70.3,3.0
100206,317.0,7.0,android_mid,1.0,1.0,0.0,100.0,4.0
100207,,,,,,,,
100208,201.0,6.0,android_mid,0.0,1.0,0.0,77.5,3.0
100209,91.0,2.0,android_mid,1.0,0.0,0.0,64.5,2.0
100210,,,,,,,,
100211,84.0,5.0,android_low_end,0.0,0.0,0.0,82.6,2.0
100212,38.0,8.0,android_low_end,1.0,1.0,1.0,84.2,4.0
100213,,,,,,,,
100214,,,,,,,,
100215,,,,,,,,
100216,1.0,3.0,android_low_end,1.0,0.0,0.0,100.0,3.0
100217,173.0,7.0,android_low_end,1.0,1.0,0.0,100.0,3.0
100218,,,,,,,,
100219,235.0,8.0,android_low_end,1.0,1.0,0.0,100.0,8.0
100220,442.0,8.0,ios,0.0,1.0,1.0,76.3,2.0
100221,1.0,4.0,android_low_end,0.0,0.0,0.0,84.3,8.0
100222,,,,,,,,
100223,,,,,,,,
100224,439.0,8.0,android_mid,1.0,0.0,1.0,98.1,9.0
100225,,,,,,,,
100226,300.0,6.0,android_mid,1.0,1.0,0.0,58.5,5.0
100227,421.0,4.0,ios,0.0,0.0,0.0,87.6,5.0
100228,,,,,,,,
100229,243.0,6.0,android_mid,1.0,1.0,0.0,81.9,2.0
100230,297.0,4.0,android_low_end,0.0,1.0,0.0,65.8,3.0
100231,376.0,4.0,android_mid,0.0,1.0,3.0,59.9,3.0
100232,,,,,,,,
100233,149.0,6.0,ios,0.0,0.0,0.0,89.2,5.0
100234,,,,,,,,
100235,,,,,,,,
100236,42.0,2.0,android_low_end,1.0,1.0,1.0,74.2,2.0
100237,,,,,,,,
100238,202.0,3.0,android_mid,0.0,0.0,0.0,79.4,5.0
100239,1.0,4.0,android_low_end,1.0,0.0,0.0,64.9,3.0
100240,,,,,,,,
100241,,,,,,,,
100242,353.0,3.0,android_high,0.0,0.0,0.0,95.9,5.0
100243,67.0,6.0,android_low_end,0.0,1.0,1.0,83.0,6.0
100244,361.0,2.0,android_high,1.0,1.0,1.0,87.0,4.0
100245,,,,,,,,
100246,274.0,4.0,android_mid,0.0,1.0,0.0,79.3,5.0
100247,40.0,4.0,android_mid,0.0,1.0,0.0,93.8,7.0
100248,146.0,3.0,android_low_end,1.0,0.0,0.0,61.0,5.0
100249,165.0,2.0,android_low_end,0.0,0.0,0.0,54.4,4.0
100250,,,,,,,,
100251,,,,,,,,
100252,195.0,5.0,android_high,0.0,1.0,0.0,90.7,2.0
100253,65.0,5.0,android_low_end,0.0,1.0,1.0,80.1,2.0
100254,363.0,7.0,android_mid,0.0,0.0,0.0,85.8,2.0
100255,,,,,,,,
100256,,,,,,,,
100257,324.0,8.0,android_high,1.0,1.0,0.0,53.9,1.0
100258,283.0,4.0,android_low_end,1.0,0.0,1.0,96.7,7.0
100259,375.0,7.0,android_mid,0.0,1.0,0.0,91.4,2.0
100260,163.0,4.0,android_low_end,0.0,0.0,0.0,64.7,4.0
100261,,,,,,,,
100262,74.0,4.0,android_mid,1.0,1.0,1.0,100.0,1.0
100263,436.0,1.0,android_mid,0.0,1.0,1.0,53.1,2.0
100264,,,,,,,,
100265,297.0,4.0,android_high,0.0,0.0,1.0,84.0,3.0
100266,1.0,5.0,android_mid,1.0,1.0,0.0,92.2,5.0
100267,81.0,10.0,android_low_end,1.0,0.0,0.0,67.6,5.0
100268,325.0,5.0,android_low_end,0.0,0.0,0.0,82.2,3.0
100269,513.0,8.0,ios,1.0,0.0,0.0,69.2,2.0
100270,323.0,6.0,android_mid,0.0,1.0,0.0,41.8,5.0
100271,27.0,2.0,android_mid,1.0,1.0,1.0,82.3,1.0
100272,117.0,3.0,android_high,1.0,1.0,0.0,77.4,6.0
100273,306.0,4.0,android_low_end,0.0,0.0,0.0,78.9,5.0
100274,,,,,,,,
100275,174.0,7.0,android_mid,1.0,1.0,0.0,80.0,6.0
100276,110.0,5.0,ios,0.0,1.0,1.0,58.2,4.0
100277,215.0,6.0,android_mid,1.0,1.0,0.0,69.7,3.0
100278,,,,,,,,
100279,,,,,,,,
100280,290.0,6.0,android_high,0.0,1.0,2.0,96.1,2.0
100281,302.0,1.0,android_mid,0.0,0.0,0.0,77.8,1.0
100282,118.0,10.0,android_high,1.0,1.0,1.0,51.7,2.0
100283,323.0,9.0,android_mid,1.0,1.0,1.0,87.9,2.0
100284,288.0,9.0,ios,0.0,1.0,0.0,72.9,6.0
100285,178.0,3.0,android_high,0.0,0.0,0.0,68.7,5.0
100286,196.0,6.0,android_mid,0.0,1.0,2.0,69.0,4.0
100287,1.0,9.0,android_low_end,0.0,1.0,1.0,76.1,6.0
100288,280.0,6.0,android_low_end,1.0,1.0,1.0,99.1,7.0
100289,324.0,5.0,android_high,1.0,1.0,0.0,68.4,4.0
100290,,,,,,,,
100291,213.0,5.0,android_mid,1.0,0.0,1.0,100.0,3.0
100292,,,,,,,,
100293,1.0,4.0,android_mid,0.0,1.0,1.0,90.8,6.0
100294,,,,,,,,
100295,,,,,,,,
100296,,,,,,,,
100297,,,,,,,,
100298,,,,,,,,
100299,,,,,,,,
100300,,,,,,,,
100301,410.0,5.0,android_high,1.0,0.0,0.0,86.6,0.0
100302,228.0,5.0,android_low_end,0.0,1.0,0.0,69.1,5.0
100303,242.0,6.0,ios,1.0,1.0,0.0,96.6,3.0
100304,,,,,,,,
100305,333.0,5.0,android_mid,1.0,1.0,1.0,99.1,6.0
100306,486.0,6.0,android_mid,1.0,1.0,1.0,80.9,4.0
100307,,,,,,,,
100308,356.0,3.0,android_mid,0.0,1.0,0.0,46.3,4.0
100309,271.0,2.0,android_low_end,1.0,1.0,0.0,78.8,2.0
100310,251.0,3.0,android_low_end,0.0,1.0,0.0,89.7,5.0
100311,96.0,4.0,android_mid,0.0,1.0,1.0,81.6,8.0
100312,1.0,7.0,android_mid,0.0,0.0,0.0,100.0,1.0
100313,278.0,3.0,ios,1.0,1.0,0.0,73.6,6.0
100314,367.0,4.0,android_high,1.0,1.0,0.0,44.0,4.0
100315,142.0,3.0,android_low_end,1.0,1.0,0.0,76.9,1.0
100316,187.0,10.0,android_low_end,0.0,1.0,0.0,76.4,4.0
100317,,,,,,,,
100318,611.0,8.0,android_low_end,1.0,1.0,1.0,83.1,7.0
100319,,,,,,,,
100320,,,,,,,,
100321,381.0,5.0,android_low_end,0.0,0.0,0.0,100.0,6.0
100322,350.0,5.0,android_low_end,1.0,1.0,1.0,86.9,3.0
100323,1.0,3.0,android_mid,1.0,1.0,0.0,88.5,2.0
100324,,,,,,,,
100325,,,,,,,,
100326,,,,,,,,
100327,117.0,7.0,ios,1.0,1.0,1.0,79.6,4.0
100328,,,,,,,,
100329,336.0,3.0,android_mid,1.0,1.0,1.0,69.9,8.0
100330,,,,,,,,
100331,127.0,7.0,android_low_end,1.0,1.0,0.0,72.5,4.0
100332,,,,,,,,
100333,,,,,,,,
100334,441.0,8.0,android_mid,0.0,0.0,0.0,78.5,4.0
100335,150.0,3.0,ios,0.0,1.0,0.0,100.0,4.0
100336,255.0,6.0,android_high,1.0,1.0,0.0,82.6,3.0
100337,,,,,,,,
100338,246.0,3.0,android_low_end,0.0,0.0,0.0,60.9,1.0
100339,,,,,,,,
100340,34.0,10.0,android_high,0.0,1.0,0.0,85.0,5.0
100341,,,,,,,,
100342,,,,,,,,
100343,111.0,3.0,android_mid,0.0,0.0,0.0,90.6,2.0
100344,,,,,,,,
100345,,,,,,,,
100346,,,,,,,,
100347,237.0,3.0,android_mid,1.0,1.0,0.0,66.9,3.0
100348,679.0,7.0,android_mid,0.0,1.0,0.0,94.2,4.0
100349,545.0,5.0,android_mid,1.0,1.0,0.0,73.5,7.0
100350,237.0,5.0,android_low_end,0.0,1.0,0.0,83.8,4.0
100351,1.0,11.0,android_low_end,0.0,1.0,2.0,73.4,5.0
100352,173.0,5.0,android_mid,1.0,0.0,0.0,78.1,9.0
100353,179.0,6.0,android_mid,0.0,0.0,2.0,43.2,2.0
100354,312.0,5.0,android_low_end,0.0,1.0,0.0,42.5,2.0
100355,240.0,2.0,android_mid,0.0,0.0,0.0,90.0,3.0
100356,,,,,,,,
100357,,,,,,,,
100358,197.0,3.0,android_mid,0.0,0.0,0.0,84.1,7.0
100359,162.0,1.0,android_low_end,1.0,1.0,1.0,76.4,4.0
100360,,,,,,,,
100361,1.0,2.0,android_mid,0.0,0.0,1.0,68.4,12.0
100362,276.0,3.0,android_low_end,0.0,0.0,1.0,53.5,2.0
100363,113.0,6.0,ios,1.0,1.0,0.0,79.7,9.0
100364,,,,,,,,
100365,362.0,3.0,android_low_end,0.0,1.0,1.0,51.0,5.0
100366,,,,,,,,
100367,,,,,,,,
100368,341.0,4.0,android_low_end,0.0,0.0,0.0,87.8,6.0
100369,,,,,,,,
100370,,,,,,,,
100371,101.0,2.0,android_low_end,1.0,1.0,1.0,81.2,4.0
100372,225.0,5.0,android_mid,1.0,0.0,1.0,78.9,2.0
100373,466.0,3.0,android_mid,1.0,1.0,0.0,95.5,4.0
100374,434.0,6.0,android_mid,0.0,0.0,0.0,51.5,3.0
100375,80.0,5.0,android_low_end,0.0,1.0,0.0,96.0,8.0
100376,,,,,,,,
100377,273.0,8.0,android_low_end,0.0,1.0,0.0,99.9,6.0
100378,109.0,2.0,android_mid,0.0,0.0,2.0,93.6,4.0
100379,,,,,,,,
100380,370.0,6.0,ios,1.0,0.0,0.0,50.8,0.0
100381,,,,,,,,
100382,,,,,,,,
100383,467.0,3.0,android_low_end,0.0,1.0,1.0,92.0,3.0
100384,345.0,7.0,android_low_end,1.0,1.0,0.0,100.0,3.0
100385,,,,,,,,
100386,,,,,,,,
100387,,,,,,,,
100388,231.0,5.0,android_high,1.0,1.0,2.0,73.2,2.0
100389,,,,,,,,
100390,,,,,,,,
100391,422.0,9.0,android_low_end,1.0,0.0,0.0,93.2,6.0
100392,141.0,4.0,android_mid,0.0,0.0,0.0,82.6,3.0
100393,,,,,,,,
100394,151.0,6.0,android_mid,1.0,1.0,0.0,66.3,8.0
100395,97.0,2.0,android_mid,0.0,1.0,0.0,77.2,4.0
100396,,,,,,,,
100397,28.0,5.0,ios,0.0,0.0,0.0,57.6,2.0
100398,232.0,3.0,android_mid,1.0,0.0,0.0,79.0,2.0
100399,146.0,2.0,android_mid,1.0,0.0,0.0,93.5,4.0
100400,534.0,4.0,android_mid,1.0,1.0,0.0,100.0,3.0
100401,,,,,,,,
100402,,,,,,,,
100403,235.0,6.0,android_high,1.0,0.0,3.0,97.4,5.0
100404,,,,,,,,
100405,,,,,,,,
100406,1.0,3.0,android_mid,1.0,0.0,2.0,86.1,3.0
100407,,,,,,,,
100408,415.0,7.0,android_low_end,0.0,0.0,1.0,69.4,7.0
100409,,,,,,,,
100410,,,,,,,,
100411,,,,,,,,
100412,315.0,3.0,android_mid,0.0,1.0,0.0,65.9,5.0
100413,,,,,,,,
100414,201.0,4.0,android_low_end,1.0,1.0,0.0,95.6,9.0
100415,202.0,4.0,android_mid,1.0,0.0,0.0,74.0,5.0
100416,127.0,4.0,android_low_end,0.0,1.0,0.0,72.7,6.0
100417,,,,,,,,
100418,1.0,9.0,android_low_end,1.0,1.0,0.0,100.0,3.0
100419,,,,,,,,
100420,,,,,,,,
100421,373.0,5.0,android_low_end,1.0,0.0,0.0,59.7,2.0
100422,338.0,6.0,ios,1.0,1.0,0.0,82.7,2.0
100423,232.0,7.0,android_low_end,0.0,1.0,1.0,85.4,3.0
100424,323.0,5.0,android_mid,0.0,0.0,1.0,86.6,5.0
100425,,,,,,,,
100426,447.0,4.0,android_mid,0.0,1.0,0.0,63.3,4.0
100427,,,,,,,,
100428,1.0,4.0,android_low_end,0.0,1.0,1.0,94.0,5.0
100429,,,,,,,,
100430,,,,,,,,
100431,,,,,,,,
100432,,,,,,,,
100433,,,,,,,,
100434,192.0,6.0,android_mid,1.0,0.0,2.0,42.3,6.0
100435,442.0,3.0,android_mid,1.0,1.0,0.0,77.6,2.0
100436,1.0,8.0,android_low_end,0.0,0.0,0.0,65.0,2.0
100437,173.0,6.0,android_mid,0.0,1.0,0.0,52.5,3.0
100438,,,,,,,,
100439,,,,,,,,
100440,,,,,,,,
100441,279.0,6.0,android_low_end,1.0,1.0,0.0,46.0,1.0
100442,,,,,,,,
100443,404.0,2.0,android_mid,1.0,1.0,0.0,97.7,2.0
100444,9.0,6.0,android_mid,0.0,0.0,0.0,67.5,1.0
100445,,,,,,,,
100446,,,,,,,,
100447,255.0,3.0,android_low_end,0.0,1.0,1.0,74.1,3.0
100448,608.0,3.0,android_high,0.0,1.0,1.0,85.5,2.0
100449,325.0,3.0,android_mid,1.0,1.0,0.0,90.2,1.0
100450,1.0,3.0,android_mid,1.0,1.0,0.0,76.5,9.0
100451,,,,,,,,
100452,,,,,,,,
100453,268.0,6.0,android_low_end,0.0,1.0,0.0,66.7,2.0
100454,114.0,4.0,android_mid,1.0,1.0,1.0,90.8,4.0
100455,400.0,5.0,android_low_end,0.0,1.0,1.0,50.5,6.0
100456,,,,,,,,
100457,447.0,4.0,android_mid,0.0,0.0,1.0,45.3,7.0
100458,,,,,,,,
100459,,,,,,,,
100460,123.0,6.0,android_mid,0.0,1.0,1.0,91.9,2.0
100461,189.0,7.0,android_low_end,1.0,1.0,0.0,100.0,3.0
100462,,,,,,,,
100463,376.0,2.0,android_low_end,1.0,0.0,1.0,89.5,8.0
100464,301.0,3.0,android_low_end,0.0,1.0,1.0,100.0,5.0
100465,,,,,,,,
100466,,,,,,,,
100467,,,,,,,,
100468,281.0,6.0,android_mid,0.0,1.0,0.0,69.1,6.0
100469,110.0,3.0,android_mid,1.0,1.0,0.0,76.5,7.0
100470,319.0,6.0,android_low_end,0.0,0.0,0.0,78.9,3.0
100471,267.0,6.0,android_low_end,1.0,0.0,0.0,49.7,4.0
100472,18.0,5.0,android_mid,0.0,0.0,0.0,100.0,8.0
100473,383.0,3.0,android_high,0.0,1.0,0.0,91.3,0.0
100474,325.0,4.0,android_high,1.0,0.0,0.0,67.5,5.0
100475,279.0,1.0,android_low_end,1.0,1.0,0.0,47.4,3.0
100476,304.0,5.0,android_mid,0.0,1.0,0.0,84.6,1.0
100477,95.0,4.0,android_low_end,0.0,1.0,0.0,66.7,5.0
100478,,,,,,,,
100479,355.0,2.0,android_mid,0.0,0.0,0.0,82.7,6.0
100480,93.0,9.0,android_mid,1.0,0.0,0.0,73.7,3.0
100481,568.0,4.0,android_mid,1.0,0.0,0.0,61.5,6.0
100482,351.0,5.0,ios,0.0,0.0,0.0,80.2,0.0
100483,44.0,6.0,android_low_end,0.0,1.0,0.0,42.9,2.0
100484,175.0,5.0,android_mid,1.0,0.0,0.0,100.0,5.0
100485,325.0,7.0,android_mid,1.0,0.0,0.0,79.3,1.0
100486,233.0,7.0,android_mid,1.0,1.0,0.0,89.4,1.0
100487,453.0,8.0,android_mid,0.0,0.0,1.0,55.4,3.0
100488,73.0,3.0,android_mid,1.0,0.0,0.0,61.8,2.0
100489,142.0,7.0,android_low_end,0.0,1.0,1.0,73.7,0.0
100490,,,,,,,,
100491,,,,,,,,
100492,,,,,,,,
100493,235.0,4.0,android_low_end,1.0,0.0,1.0,100.0,5.0
100494,,,,,,,,
100495,227.0,1.0,android_mid,0.0,1.0,2.0,54.9,4.0
100496,82.0,3.0,android_mid,0.0,0.0,0.0,41.6,3.0
100497,,,,,,,,
100498,21.0,3.0,android_low_end,1.0,0.0,0.0,65.2,9.0
100499,142.0,8.0,android_low_end,1.0,1.0,0.0,82.1,9.0
100500,,,,,,,,
100501,,,,,,,,
100502,,,,,,,,
100503,172.0,3.0,android_low_end,0.0,0.0,0.0,74.5,5.0
100504,443.0,4.0,android_mid,1.0,1.0,0.0,71.6,3.0
100505,,,,,,,,
100506,167.0,2.0,android_low_end,1.0,0.0,1.0,87.4,0.0
100507,,,,,,,,
100508,255.0,3.0,android_mid,0.0,1.0,0.0,76.1,6.0
100509,112.0,6.0,android_low_end,1.0,0.0,2.0,90.8,3.0
100510,252.0,5.0,ios,1.0,1.0,0.0,91.0,3.0
100511,,,,,,,,
100512,147.0,9.0,android_high,0.0,1.0,0.0,77.4,3.0
100513,268.0,1.0,android_low_end,0.0,1.0,1.0,71.4,3.0
100514,1.0,9.0,android_mid,1.0,0.0,0.0,78.4,4.0
100515,292.0,3.0,android_mid,0.0,0.0,1.0,58.3,1.0
100516,388.0,3.0,android_low_end,1.0,1.0,0.0,55.5,2.0
100517,,,,,,,,
100518,191.0,2.0,android_mid,1.0,0.0,0.0,77.9,3.0
100519,,,,,,,,
100520,,,,,,,,
100521,135.0,11.0,android_mid,1.0,1.0,0.0,74.2,2.0
100522,507.0,2.0,android_low_end,0.0,1.0,0.0,94.5,5.0
